NIRF Ranking,College Name,Location,Pincode,Link,Image URL,Course,Cutoff Range,CGPI
,"Tamilnadu School of Architecture, Coimbatore",Coimbatore,641021,https://tnsa.ac.in/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSvVkm-kdotpOPOjrBEgRAJkr65xw950Qwgrw&s,B.Arch,70-75%,-
,"Tamilnadu School of Architecture, Coimbatore",Coimbatore,641021,https://tnsa.ac.in/,,M.Arch,-,7
,"Anand School of Architecture, Chennai",Chennai,600119,https://asa.ac.in/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSA5FD-Tqd9qx8Y66YBjaEaGrRhHPsQ9G1CxA&s,B.Arch,80-85%,-
,"Anand School of Architecture, Chennai",Chennai,600119,https://asa.ac.in/,,M.Arch,-,7
,"MAM School of Architecture, Tiruchirappalli",Tiruchirappalli,620021,https://www.mamse.in/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTrzWUOVlsFdUNHb-ROnXivn2Usxr7RFMLKGA&s,B.Arch,75-80%,-
,"MAM School of Architecture, Tiruchirappalli",Tiruchirappalli,620021,https://www.mamse.in/,,M.Arch,-,6.5
,"J.K.K. Munirajah School of Architecture, Erode",Erode,638002,https://jkkmct.edu.in/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSxbrnVZ51uuFqZFh2jqSHgKFYCwz0lhl8k9g&s,B.Arch,70-75%,-
,"J.K.K. Munirajah School of Architecture, Erode",Erode,638002,https://jkkmct.edu.in/,,M.Arch,-,6.5
,"J.K.K. Munirajah School of Architecture, Erode",Erode,638002,https://jkkmct.edu.in/,,Diploma in Architecture,55-60%,-
11,S.R.M. Institute of Science and Technology,Chennai,603203,https://www.srmist.edu.in/,https://upload.wikimedia.org/wikipedia/en/f/fe/Srmseal.png,B.Arch,85-90%,-
11,S.R.M. Institute of Science and Technology,Chennai,603203,https://www.srmist.edu.in/,,M.Arch,-,7
11,S.R.M. Institute of Science and Technology,Chennai,603203,https://www.srmist.edu.in/,,Ph.D. in Architecture,-,8
22,Dr. M. G. R. Educational and Research Institute,Chennai,600095,https://www.drmgrdu.ac.in/,https://images.shiksha.com/mediadata/images/1680760548php0Vwajy.jpeg,B.Arch,75-80%,-
22,Dr. M. G. R. Educational and Research Institute,Chennai,600095,https://www.drmgrdu.ac.in/,,M.Arch,-,6.5
22,Dr. M. G. R. Educational and Research Institute,Chennai,600095,https://www.drmgrdu.ac.in/,,Ph.D. in Architecture,-,8
25,Thiagarajar College of Engineering,Madurai,625015,https://www.tce.edu/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT5ztVKDFryexlOwWmwbms7YoNx1U7je3hWIQ&s,B.Arch,85-90%,-
25,Thiagarajar College of Engineering,Madurai,625015,https://www.tce.edu/,,M.Arch,-,7
25,Thiagarajar College of Engineering,Madurai,625015,https://www.tce.edu/,,Ph.D. in Architecture,-,8
40,B. S. Abdur Rahman Crescent Institute of Science and Technology,Chennai,600048,https://crescent.education/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS-bwv1Rw_fKmrvAANtE0DNrHsxwCuS6swMBw&s,B.Arch,80-85%,-
40,B. S. Abdur Rahman Crescent Institute of Science and Technology,Chennai,600048,https://crescent.education/,,M.Arch,-,7.5
40,B. S. Abdur Rahman Crescent Institute of Science and Technology,Chennai,600048,https://crescent.education/,,Ph.D. in Architecture,-,8
